Index,Component,Thickness,Width,Length,CorrectRole,Source
60,Shoulder Bushing(5774)-3,2.177,2.177,2.914,,
61,Cavity Core Assembly(Left)-1/Wear Plate-1,0.370,4.500,6.500,,
62,Cavity Core Assembly(Default)-1/Wear Plate-1,0.370,4.500,6.500,,
63,Cavity Core Assembly(Default)-1/Cavity Insert-1,1.688,1.875,2.750,,
64,Cavity Core Assembly(Left)-1/Cavity Insert-1,1.688,1.875,2.750,,
65,Ejector Bushing(GEB-150)-2,1.751,2.177,2.177,,
66,Ejector Bushing(GEB-150)-4,1.751,2.177,2.177,,
67,Ejector Bushing(GEB-150)-3,1.751,2.177,2.177,,
68,Ejector Bushing(GEB-150)-1,1.751,2.177,2.177,,
69,Cavity Core Assembly(Default)-1/APD_0807-1,1.125,1.125,6.100,,
70,Cavity Core Assembly(Left)-1/APD_0807-1,1.125,1.125,6.100,,
71,SHCS(12X12-0)-8,0.750,0.750,12.500,,
72,SHCS(12X12-0)-12,0.750,0.750,12.500,,
73,SHCS(12X12-0)-9,0.750,0.750,12.500,,
74,SHCS(12X12-0)-10,0.750,0.750,12.500,,
75,SHCS(12X12-0)-1,0.750,0.750,12.500,,
76,SHCS(12X12-0)-4,0.750,0.750,12.500,,
77,SHCS(12X12-0)-3,0.750,0.750,12.500,,
78,SHCS(12X12-0)-5,0.750,0.750,12.500,,
79,SHCS(12X12-0)-6,0.750,0.750,12.500,,
80,SHCS(12X12-0)-7,0.750,0.750,12.500,,
81,SHCS(12X12-0)-2,0.750,0.750,12.500,,
82,SHCS(12X12-0)-11,0.750,0.750,12.500,,
83,Cavity Core Assembly(Left)-1/SB50 Straight Baffle B(16_ long)-1,0.839,0.839,8.500,,
84,Cavity Core Assembly(Left)-1/SB50 Straight Baffle B(16_ long)-2,0.839,0.839,8.500,,
85,Cavity Core Assembly(Default)-1/SB50 Straight Baffle B(16_ long)-1,0.839,0.839,8.500,,
86,Cavity Core Assembly(Default)-1/SB50 Straight Baffle B(16_ long)-2,0.839,0.839,8.500,,
87,Cavity Core Assembly(Default)-1/SB37 Straight Baffle B(12_ long)-1,0.674,0.674,12.940,,
88,Cavity Core Assembly(Left)-1/SB37 Straight Baffle B(12_ long)-1,0.674,0.674,12.940,,
89,Sprue Puller Pin(EX-25 .375)-1,0.625,0.625,14.188,,
90,Ejector Pin B(EX-25 .375)-7,0.625,0.625,13.993,,
91,Ejector Pin B(EX-25 .375)-2,0.625,0.625,13.993,,
92,Ejector Pin B(EX-25 .375)-6,0.625,0.625,13.993,,
93,Ejector Pin B(EX-25 .375)-4,0.625,0.625,13.993,,
94,Ejector Pin B(EX-25 .375)-1,0.625,0.625,13.993,,
95,Ejector Pin B(EX-25 .375)-8,0.625,0.625,13.993,,
96,Ejector Pin B(EX-25 .375)-5,0.625,0.625,13.993,,
97,Ejector Pin B(EX-25 .375)-3,0.625,0.625,13.993,,
98,Cavity Core Assembly(Default)-1/SB50 Straight Baffle A(8_ long)-2,0.839,0.839,7.000,,
99,Cavity Core Assembly(Default)-1/SB50 Straight Baffle A(8_ long)-1,0.839,0.839,7.000,,
100,Cavity Core Assembly(Left)-1/SB50 Straight Baffle A(8_ long)-2,0.839,0.839,7.000,,
101,Cavity Core Assembly(Left)-1/SB50 Straight Baffle A(8_ long)-1,0.839,0.839,7.000,,
102,Cavity Core Assembly(Left)-1/Stripper Plate A-1,0.509,2.636,3.511,,
103,Cavity Core Assembly(Left)-1/Stripper Plate B-1,0.509,2.636,3.511,,
104,Cavity Core Assembly(Default)-1/Stripper Plate B-1,0.509,2.636,3.511,,
105,Cavity Core Assembly(Default)-1/Stripper Plate A-1,0.509,2.636,3.511,,
106,SHCS(12X7-12)-1,0.750,0.750,8.000,,
107,SHCS(12X7-12)-3,0.750,0.750,8.000,,
108,SHCS(12X7-12)-4,0.750,0.750,8.000,,
109,SHCS(12X7-12)-7,0.750,0.750,8.000,,
110,SHCS(12X7-12)-6,0.750,0.750,8.000,,
111,SHCS(12X7-12)-8,0.750,0.750,8.000,,
112,SHCS(12X7-12)-2,0.750,0.750,8.000,,
113,SHCS(12X7-12)-5,0.750,0.750,8.000,,
114,SL75X300-3-1/sl75_male-1,0.750,1.974,3.000,,
115,SL75X300-1-1/sl75_male-1,0.750,1.974,3.000,,
116,SL75X300-2-1/sl75_male-1,0.750,1.974,3.000,,
117,SL75X300-1/sl75_male-1,0.750,1.974,3.000,,
118,SB37 Straight Baffle A(12_ long)-4,0.674,0.674,9.500,,
119,SB37 Straight Baffle A(12_ long)-2,0.674,0.674,9.500,,
120,SB37 Straight Baffle A(12_ long)-3,0.674,0.674,9.500,,
121,SB37 Straight Baffle A(12_ long)-1,0.674,0.674,9.500,,
122,SL75X300-3-1/sl75_female-1,0.750,1.875,3.000,,
123,SL75X300-1-1/sl75_female-1,0.750,1.875,3.000,,
124,SL75X300-1/sl75_female-1,0.750,1.875,3.000,,
125,SL75X300-2-1/sl75_female-1,0.750,1.875,3.000,,
126,353 Extension Plug A(5.5_ long)-2,0.688,0.794,5.500,,
127,353 Extension Plug A(5.5_ long)-3,0.688,0.794,5.500,,
128,353 Extension Plug A(5.5_ long)-4,0.688,0.794,5.500,,
129,353 Extension Plug A(5.5_ long)-1,0.688,0.794,5.500,,
130,Cavity Core Assembly(Default)-1/Core Insert B-1,0.526,1.375,3.888,,
131,Cavity Core Assembly(Left)-1/Core Insert B-1,0.526,1.375,3.888,,
132,353 Extension Plug B(5.5_ long)-2,0.688,0.794,5.000,,
133,353 Extension Plug B(5.5_ long)-3,0.688,0.794,5.000,,
134,353 Extension Plug B(5.5_ long)-4,0.688,0.794,5.000,,
135,353 Extension Plug B(5.5_ long)-1,0.688,0.794,5.000,,
136,Ejector Pin C(EX-17 .250)-2,0.438,0.438,14.143,,
137,Ejector Pin C(EX-17 .250)-1,0.438,0.438,14.143,,
138,Cavity Core Assembly(Left)-1/SB37 Straight Baffle C(6_ long)-2,0.674,0.674,5.500,,
139,Cavity Core Assembly(Default)-1/SB37 Straight Baffle C(6_ long)-2,0.674,0.674,5.500,,
140,Cavity Core Assembly(Left)-1/SB37 Straight Baffle C(6_ long)-1,0.674,0.674,5.500,,
141,Cavity Core Assembly(Default)-1/SB37 Straight Baffle C(6_ long)-1,0.674,0.674,5.500,,
142,353 Extension Plug C(5.5_ long)-4,0.688,0.794,4.500,,
143,353 Extension Plug C(5.5_ long)-1,0.688,0.794,4.500,,
144,353 Extension Plug C(5.5_ long)-3,0.688,0.794,4.500,,
145,353 Extension Plug C(5.5_ long)-2,0.688,0.794,4.500,,
146,352 Extension Plug B(7_ long)-8,0.563,0.650,6.250,,
147,352 Extension Plug B(7_ long)-3,0.563,0.650,6.250,,
148,352 Extension Plug B(7_ long)-2,0.563,0.650,6.250,,
149,352 Extension Plug B(7_ long)-6,0.563,0.650,6.250,,
150,352 Extension Plug B(7_ long)-4,0.563,0.650,6.250,,
151,352 Extension Plug B(7_ long)-7,0.563,0.650,6.250,,
152,352 Extension Plug B(7_ long)-5,0.563,0.650,6.250,,
153,352 Extension Plug B(7_ long)-1,0.563,0.650,6.250,,
154,Ejector Pin A(EX-13 .188)-4,0.375,0.375,15.544,,
155,Ejector Pin A(EX-13 .188)-1,0.375,0.375,15.544,,
156,Ejector Pin A(EX-13 .188)-3,0.375,0.375,15.544,,
157,Ejector Pin A(EX-13 .188)-2,0.375,0.375,15.544,,
158,SHCS(58X1-34)-1,0.938,0.938,2.375,,
159,SHCS(58X1-34)-7,0.938,0.938,2.375,,
160,SHCS(58X1-34)-11,0.938,0.938,2.375,,
161,SHCS(58X1-34)-2,0.938,0.938,2.375,,
162,SHCS(58X1-34)-6,0.938,0.938,2.375,,
163,SHCS(58X1-34)-9,0.938,0.938,2.375,,
164,SHCS(58X1-34)-5,0.938,0.938,2.375,,
165,SHCS(58X1-34)-3,0.938,0.938,2.375,,
166,SHCS(58X1-34)-12,0.938,0.938,2.375,,
167,SHCS(58X1-34)-10,0.938,0.938,2.375,,
168,SHCS(58X1-34)-4,0.938,0.938,2.375,,
169,SHCS(58X1-34)-8,0.938,0.938,2.375,,
170,Safety Strap LSS-300-2,0.380,1.500,3.500,,
171,Safety Strap LSS-300-1,0.380,1.500,3.500,,
172,SHCS(12X2-34)-29,0.750,0.750,3.250,,
173,SHCS(12X2-34)-23,0.750,0.750,3.250,,
174,SHCS(12X2-34)-30,0.750,0.750,3.250,,
175,SHCS(12X2-34)-1,0.750,0.750,3.250,,
176,SHCS(12X2-34)-6,0.750,0.750,3.250,,
177,SHCS(12X2-34)-2,0.750,0.750,3.250,,
178,SHCS(12X2-34)-4,0.750,0.750,3.250,,
179,SHCS(12X2-34)-5,0.750,0.750,3.250,,
180,SHCS(12X2-34)-20,0.750,0.750,3.250,,
181,SHCS(12X2-34)-13,0.750,0.750,3.250,,
182,SHCS(12X2-34)-3,0.750,0.750,3.250,,
183,SHCS(12X2-34)-28,0.750,0.750,3.250,,
184,SHCS(12X2-34)-26,0.750,0.750,3.250,,
185,SHCS(12X2-34)-15,0.750,0.750,3.250,,
186,SHCS(12X2-34)-7,0.750,0.750,3.250,,
187,SHCS(12X2-34)-21,0.750,0.750,3.250,,
188,SHCS(12X2-34)-8,0.750,0.750,3.250,,
189,SHCS(12X2-34)-9,0.750,0.750,3.250,,
190,SHCS(12X2-34)-11,0.750,0.750,3.250,,
191,SHCS(12X2-34)-12,0.750,0.750,3.250,,
192,SHCS(12X2-34)-16,0.750,0.750,3.250,,
193,SHCS(12X2-34)-17,0.750,0.750,3.250,,
194,SHCS(12X2-34)-18,0.750,0.750,3.250,,
195,SHCS(12X2-34)-10,0.750,0.750,3.250,,
196,SHCS(12X2-34)-22,0.750,0.750,3.250,,
197,SHCS(12X2-34)-14,0.750,0.750,3.250,,
198,SHCS(12X2-34)-19,0.750,0.750,3.250,,
199,SHCS(12X2-34)-24,0.750,0.750,3.250,,
200,SHCS(12X2-34)-25,0.750,0.750,3.250,,
201,SHCS(12X2-34)-27,0.750,0.750,3.250,,
202,Cavity Core Assembly(Default)-1/Core Pin A-1,1.000,1.000,1.571,,
203,Cavity Core Assembly(Left)-1/Core Pin A-1,1.000,1.000,1.571,,
204,SHCS(12X2-14)-5,0.750,0.750,2.750,,
205,SHCS(12X2-14)-4,0.750,0.750,2.750,,
206,SHCS(12X2-14)-8,0.750,0.750,2.750,,
207,SHCS(12X2-14)-3,0.750,0.750,2.750,,
208,SHCS(12X2-14)-7,0.750,0.750,2.750,,
209,SHCS(12X2-14)-1,0.750,0.750,2.750,,
210,SHCS(12X2-14)-6,0.750,0.750,2.750,,
211,SHCS(12X2-14)-2,0.750,0.750,2.750,,
212,SHCS(12X2-0)-12,0.750,0.750,2.500,,
213,SHCS(12X2-0)-13,0.750,0.750,2.500,,
214,SHCS(12X2-0)-14,0.750,0.750,2.500,,
215,SHCS(12X2-0)-4,0.750,0.750,2.500,,
216,SHCS(12X2-0)-9,0.750,0.750,2.500,,
217,SHCS(12X2-0)-11,0.750,0.750,2.500,,
218,SHCS(12X2-0)-6,0.750,0.750,2.500,,
219,SHCS(12X2-0)-10,0.750,0.750,2.500,,
220,SHCS(12X2-0)-8,0.750,0.750,2.500,,
221,SHCS(12X2-0)-5,0.750,0.750,2.500,,
222,SHCS(12X2-0)-7,0.750,0.750,2.500,,
223,SHCS(12X2-0)-1,0.750,0.750,2.500,,
224,SHCS(12X2-0)-2,0.750,0.750,2.500,,
225,SHCS(12X2-0)-3,0.750,0.750,2.500,,
226,352 Extension Plug A(4_ long)-3,0.563,0.650,3.625,,
227,352 Extension Plug A(4_ long)-1,0.563,0.650,3.625,,
228,352 Extension Plug A(4_ long)-4,0.563,0.650,3.625,,
229,352 Extension Plug A(4_ long)-2,0.563,0.650,3.625,,
230,SHCS(12X1-34)-5,0.750,0.750,2.250,,
231,SHCS(12X1-34)-6,0.750,0.750,2.250,,
232,SHCS(12X1-34)-2,0.750,0.750,2.250,,
233,SHCS(12X1-34)-3,0.750,0.750,2.250,,
234,SHCS(12X1-34)-4,0.750,0.750,2.250,,
235,SHCS(12X1-34)-1,0.750,0.750,2.250,,
236,SHCS(38X3-14)-13,0.563,0.563,3.625,,
237,SHCS(38X3-14)-4,0.563,0.563,3.625,,
238,SHCS(38X3-14)-1,0.563,0.563,3.625,,
239,SHCS(38X3-14)-7,0.563,0.563,3.625,,
240,SHCS(38X3-14)-2,0.563,0.563,3.625,,
241,SHCS(38X3-14)-10,0.563,0.563,3.625,,
242,SHCS(38X3-14)-9,0.563,0.563,3.625,,
243,SHCS(38X3-14)-8,0.563,0.563,3.625,,
244,SHCS(38X3-14)-12,0.563,0.563,3.625,,
245,SHCS(38X3-14)-15,0.563,0.563,3.625,,
246,SHCS(38X3-14)-3,0.563,0.563,3.625,,
247,SHCS(38X3-14)-5,0.563,0.563,3.625,,
248,SHCS(38X3-14)-6,0.563,0.563,3.625,,
249,SHCS(38X3-14)-11,0.563,0.563,3.625,,
250,SHCS(38X3-14)-16,0.563,0.563,3.625,,
251,SHCS(38X3-14)-14,0.563,0.563,3.625,,
252,Cavity Core Assembly(Default)-1/PCS-SmartLock-291-1,0.798,1.132,1.197,,
253,Cavity Core Assembly(Left)-1/PCS-SmartLock-291-1,0.798,1.132,1.197,,
254,SHCS(12X1-0)-4,0.750,0.750,1.500,,
255,SHCS(12X1-0)-2,0.750,0.750,1.500,,
256,SHCS(12X1-0)-3,0.750,0.750,1.500,,
257,SHCS(12X1-0)-1,0.750,0.750,1.500,,
258,NO1352DHK-1/Y-H-30-3,0.551,0.866,1.604,,
259,NO1352DHK-1/Y-H-30-1,0.551,0.866,1.604,,
260,NO1352DHK-1/Y-H-30-2,0.551,0.866,1.604,,
261,SHCS(516X2-34)-3,0.469,0.469,3.063,,
262,SHCS(516X2-34)-2,0.469,0.469,3.063,,
263,SHCS(516X2-34)-4,0.469,0.469,3.063,,
264,SHCS(516X2-34)-1,0.469,0.469,3.063,,
265,SHCS(516X2-34)-5,0.469,0.469,3.063,,
266,SHCS(516X2-34)-6,0.469,0.469,3.063,,
267,SHCS(516X2-34)-7,0.469,0.469,3.063,,
268,SHCS(516X2-34)-8,0.469,0.469,3.063,,
269,VISION NAMETAG-1,0.076,2.000,4.000,,
270,Cavity Core Assembly(Default)-1/SLK-25-1/SLK-25_plunger-1,0.590,0.620,1.494,,
271,Cavity Core Assembly(Left)-1/SLK-25-1-1/SLK-25_plunger-1,0.590,0.620,1.494,,
272,SHCS(38X1-14)-1,0.563,0.563,1.625,,
273,SHCS(38X1-14)-17,0.563,0.563,1.625,,
274,SHCS(38X1-14)-22,0.563,0.563,1.625,,
275,SHCS(38X1-14)-2,0.563,0.563,1.625,,
276,SHCS(38X1-14)-3,0.563,0.563,1.625,,
277,SHCS(38X1-14)-4,0.563,0.563,1.625,,
278,SHCS(38X1-14)-6,0.563,0.563,1.625,,
279,SHCS(38X1-14)-8,0.563,0.563,1.625,,
280,SHCS(38X1-14)-9,0.563,0.563,1.625,,
281,SHCS(38X1-14)-15,0.563,0.563,1.625,,
282,SHCS(38X1-14)-7,0.563,0.563,1.625,,
283,SHCS(38X1-14)-19,0.563,0.563,1.625,,
284,SHCS(38X1-14)-16,0.563,0.563,1.625,,
285,SHCS(38X1-14)-5,0.563,0.563,1.625,,
286,SHCS(38X1-14)-11,0.563,0.563,1.625,,
287,SHCS(38X1-14)-13,0.563,0.563,1.625,,
288,SHCS(38X1-14)-10,0.563,0.563,1.625,,
289,SHCS(38X1-14)-18,0.563,0.563,1.625,,
290,SHCS(38X1-14)-20,0.563,0.563,1.625,,
291,SHCS(38X1-14)-23,0.563,0.563,1.625,,
292,SHCS(38X1-14)-24,0.563,0.563,1.625,,
293,SHCS(38X1-14)-21,0.563,0.563,1.625,,
294,SHCS(38X1-14)-12,0.563,0.563,1.625,,
295,SHCS(38X1-14)-14,0.563,0.563,1.625,,
296,352-1,0.562,0.649,1.391,,
297,352-2,0.562,0.649,1.391,,
298,352-4,0.562,0.649,1.391,,
299,352-3,0.562,0.649,1.391,,
300,FHCS(5_16-24 x .75)-2,0.656,0.656,0.750,,
301,FHCS(5_16-24 x .75)-3,0.656,0.656,0.750,,
302,FHCS(5_16-24 x .75)-1,0.656,0.656,0.750,,
303,FHCS(5_16-24 x .75)-4,0.656,0.656,0.750,,
304,Water Blade-1,0.090,0.750,4.490,,
305,Water Blade-2,0.090,0.750,4.490,,
306,Tubular Dowel(34X12)-3,0.500,0.752,0.752,,
307,Tubular Dowel(34X12)-4,0.500,0.752,0.752,,
308,Tubular Dowel(34X12)-1,0.500,0.752,0.752,,
309,Tubular Dowel(34X12)-2,0.500,0.752,0.752,,
310,Tubular Dowel(34X12)-5,0.500,0.752,0.752,,
311,Tubular Dowel(34X12)-6,0.500,0.752,0.752,,
312,Dowel Pin(.50 X 1.00)-6,0.500,0.500,1.000,,
313,Dowel Pin(.50 X 1.00)-4,0.500,0.500,1.000,,
314,Dowel Pin(.50 X 1.00)-1,0.500,0.500,1.000,,
315,Dowel Pin(.50 X 1.00)-3,0.500,0.500,1.000,,
316,Dowel Pin(.50 X 1.00)-2,0.500,0.500,1.000,,
317,Dowel Pin(.50 X 1.00)-5,0.500,0.500,1.000,,
318,BR37 Plug-10,0.406,0.654,0.654,,
319,BR37 Plug-17,0.406,0.654,0.654,,
320,BR37 Plug-9,0.406,0.654,0.654,,
321,BR37 Plug-3,0.406,0.654,0.654,,
322,BR37 Plug-11,0.406,0.654,0.654,,
323,BR37 Plug-2,0.406,0.654,0.654,,
324,BR37 Plug-6,0.406,0.654,0.654,,
325,BR37 Plug-18,0.406,0.654,0.654,,
326,BR37 Plug-21,0.406,0.654,0.654,,
327,BR37 Plug-5,0.406,0.654,0.654,,
328,BR37 Plug-12,0.406,0.654,0.654,,
329,BR37 Plug-16,0.406,0.654,0.654,,
330,BR37 Plug-25,0.406,0.654,0.654,,
331,BR37 Plug-27,0.406,0.654,0.654,,
332,BR37 Plug-26,0.406,0.654,0.654,,
333,BR37 Plug-29,0.406,0.654,0.654,,
334,BR37 Plug-30,0.406,0.654,0.654,,
335,BR37 Plug-31,0.406,0.654,0.654,,
336,BR37 Plug-24,0.406,0.654,0.654,,
337,BR37 Plug-28,0.406,0.654,0.654,,
338,BR37 Plug-32,0.406,0.654,0.654,,
339,BR37 Plug-8,0.406,0.654,0.654,,
340,BR37 Plug-15,0.406,0.654,0.654,,
341,BR37 Plug-20,0.406,0.654,0.654,,
342,BR37 Plug-7,0.406,0.654,0.654,,
343,BR37 Plug-1,0.406,0.654,0.654,,
344,BR37 Plug-23,0.406,0.654,0.654,,
345,BR37 Plug-4,0.406,0.654,0.654,,
346,BR37 Plug-22,0.406,0.654,0.654,,
347,BR37 Plug-13,0.406,0.654,0.654,,
348,BR37 Plug-14,0.406,0.654,0.654,,
349,BR37 Plug-19,0.406,0.654,0.654,,
350,LHCS(Lhcs_312)-6,0.437,0.437,0.906,,
351,LHCS(Lhcs_312)-12,0.437,0.437,0.906,,
352,LHCS(Lhcs_312)-9,0.437,0.437,0.906,,
353,LHCS(Lhcs_312)-11,0.437,0.437,0.906,,
354,LHCS(Lhcs_312)-10,0.437,0.437,0.906,,
355,LHCS(Lhcs_312)-5,0.437,0.437,0.906,,
356,LHCS(Lhcs_312)-2,0.437,0.437,0.906,,
357,LHCS(Lhcs_312)-8,0.437,0.437,0.906,,
358,LHCS(Lhcs_312)-3,0.437,0.437,0.906,,
359,LHCS(Lhcs_312)-4,0.437,0.437,0.906,,
360,LHCS(Lhcs_312)-1,0.437,0.437,0.906,,
361,LHCS(Lhcs_312)-7,0.437,0.437,0.906,,
362,SL75X300-2-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-1,0.375,0.375,1.125,,
363,SL75X300-1-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-3,0.375,0.375,1.125,,
364,SL75X300-1-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-4,0.375,0.375,1.125,,
365,SL75X300-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-3,0.375,0.375,1.125,,
366,SL75X300-3-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-2,0.375,0.375,1.125,,
367,SL75X300-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-1,0.375,0.375,1.125,,
368,SL75X300-1-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-2,0.375,0.375,1.125,,
369,SL75X300-3-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-1,0.375,0.375,1.125,,
370,SL75X300-3-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-3,0.375,0.375,1.125,,
371,SL75X300-3-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-4,0.375,0.375,1.125,,
372,SL75X300-1-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-1,0.375,0.375,1.125,,
373,SL75X300-2-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-2,0.375,0.375,1.125,,
374,SL75X300-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-2,0.375,0.375,1.125,,
375,SL75X300-2-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-3,0.375,0.375,1.125,,
376,SL75X300-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-4,0.375,0.375,1.125,,
377,SL75X300-2-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-4,0.375,0.375,1.125,,
378,Cavity Core Assembly(Left)-1/PCS-Plunger-1,0.438,0.438,0.735,,
379,Cavity Core Assembly(Default)-1/PCS-Plunger-1,0.438,0.438,0.735,,
380,SHCS(14X34)-2,0.375,0.375,1.000,,
381,SHCS(14X34)-1,0.375,0.375,1.000,,
382,BR25 Plug-3,0.406,0.519,0.519,,
383,BR25 Plug-4,0.406,0.519,0.519,,
384,BR25 Plug-1,0.406,0.519,0.519,,
385,BR25 Plug-2,0.406,0.519,0.519,,
386,Cavity Core Assembly(Default)-1/SLK-25-1/6_32_screw-1,0.226,0.226,0.750,,
387,Cavity Core Assembly(Default)-1/SLK-25-1/6_32_screw-2,0.226,0.226,0.750,,
388,Cavity Core Assembly(Left)-1/SLK-25-1-1/6_32_screw-2,0.226,0.226,0.750,,
389,Cavity Core Assembly(Left)-1/SLK-25-1-1/6_32_screw-1,0.226,0.226,0.750,,
390,Cavity Core Assembly(Default)-1/FHCS(#6-32 x .313)-2,0.307,0.307,0.313,,
391,Cavity Core Assembly(Default)-1/FHCS(#6-32 x .313)-1,0.307,0.307,0.313,,
392,Cavity Core Assembly(Left)-1/FHCS(#6-32 x .313)-3,0.307,0.307,0.313,,
393,Cavity Core Assembly(Default)-1/FHCS(#6-32 x .313)-3,0.307,0.307,0.313,,
394,Cavity Core Assembly(Left)-1/FHCS(#6-32 x .313)-2,0.307,0.307,0.313,,
395,Cavity Core Assembly(Left)-1/FHCS(#6-32 x .313)-1,0.307,0.307,0.313,,
396,Cavity Core Assembly(Default)-1/50785K267-1,0.263,0.312,0.314,,
397,Cavity Core Assembly(Left)-1/50785K267-1,0.263,0.312,0.314,,
