Index,Component,Thickness,Width,Length,CorrectRole,Source
160,GL150X250_ASM-2/UNF-SHCS-1-4-X-0875-3,0.375,0.375,1.125,,
161,GL150X250_ASM-4/UNF-SHCS-1-4-X-0875-1,0.375,0.375,1.125,,
162,GL150X250_ASM-2/UNF-SHCS-1-4-X-0875-2,0.375,0.375,1.125,,
163,GL150X250_ASM-2/UNF-SHCS-1-4-X-0875-1,0.375,0.375,1.125,,
164,GL150X250_ASM-1/UNF-SHCS-1-4-X-0875-1,0.375,0.375,1.125,,
165,GL150X250_ASM-4/UNF-SHCS-1-4-X-0875-4,0.375,0.375,1.125,,
166,UNC-FHCS-1-4-X-0500-13,0.480,0.480,0.500,,
167,UNC-FHCS-1-4-X-0500-17,0.480,0.480,0.500,,
168,UNC-FHCS-1-4-X-0500-15,0.480,0.480,0.500,,
169,UNC-FHCS-1-4-X-0500-6,0.480,0.480,0.500,,
170,UNC-FHCS-1-4-X-0500-9,0.480,0.480,0.500,,
171,UNC-FHCS-1-4-X-0500-10,0.480,0.480,0.500,,
172,UNC-FHCS-1-4-X-0500-7,0.480,0.480,0.500,,
173,UNC-FHCS-1-4-X-0500-11,0.480,0.480,0.500,,
174,UNC-FHCS-1-4-X-0500-14,0.480,0.480,0.500,,
175,UNC-FHCS-1-4-X-0500-16,0.480,0.480,0.500,,
176,UNC-FHCS-1-4-X-0500-1,0.480,0.480,0.500,,
177,UNC-FHCS-1-4-X-0500-3,0.480,0.480,0.500,,
178,UNC-FHCS-1-4-X-0500-4,0.480,0.480,0.500,,
179,UNC-FHCS-1-4-X-0500-5,0.480,0.480,0.500,,
180,UNC-FHCS-1-4-X-0500-12,0.480,0.480,0.500,,
181,UNC-FHCS-1-4-X-0500-2,0.480,0.480,0.500,,
182,UNC-FHCS-1-4-X-0500-8,0.480,0.480,0.500,,
