Index,Component,Thickness,Width,Length,CorrectRole,Source
113,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-8,0.562,0.562,1.625,,
114,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-2,0.562,0.562,1.625,,
115,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-1,0.562,0.562,1.625,,
116,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-9,0.562,0.562,1.625,,
117,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-11,0.562,0.562,1.625,,
118,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-3,0.562,0.562,1.625,,
119,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-13,0.562,0.562,1.625,,
120,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-4,0.562,0.562,1.625,,
121,2223605_MOLDBASE_ASM-1/TUBE_DOWEL_D0875_L0500-3,0.500,0.875,0.875,,
122,2223605_MOLDBASE_ASM-1/TUBE_DOWEL_D0875_L0500-6,0.500,0.875,0.875,,
123,2223605_MOLDBASE_ASM-1/TUBE_DOWEL_D0875_L0500-2,0.500,0.875,0.875,,
124,2223605_MOLDBASE_ASM-1/TUBE_DOWEL_D0875_L0500-8,0.500,0.875,0.875,,
125,2223605_MOLDBASE_ASM-1/TUBE_DOWEL_D0875_L0500-7,0.500,0.875,0.875,,
126,2223605_MOLDBASE_ASM-1/TUBE_DOWEL_D0875_L0500-4,0.500,0.875,0.875,,
127,2223605_MOLDBASE_ASM-1/TUBE_DOWEL_D0875_L0500-5,0.500,0.875,0.875,,
128,2223605_MOLDBASE_ASM-1/TUBE_DOWEL_D0875_L0500-1,0.500,0.875,0.875,,
129,2223605_MOLD_ASM-3/2223605_SLIDE-01_ASM-2/UNC-SHCS-5-16-X-0625-2,0.469,0.469,0.937,,
130,2223605_MOLD_ASM-3/2223605_SLIDE-01_ASM-2/UNC-SHCS-5-16-X-0625-1,0.469,0.469,0.937,,
131,2223605_MOLD_ASM-1/2223605_SLIDE-01_ASM-1/UNC-SHCS-5-16-X-0625-1,0.469,0.469,0.937,,
132,2223605_MOLD_ASM-4/2223605_SLIDE-01_ASM-1/UNC-SHCS-5-16-X-0625-2,0.469,0.469,0.937,,
133,2223605_MOLD_ASM-4/2223605_SLIDE-01_ASM-1/UNC-SHCS-5-16-X-0625-1,0.469,0.469,0.937,,
134,2223605_MOLD_ASM-2/2223605_SLIDE-01_ASM-1/UNC-SHCS-5-16-X-0625-2,0.469,0.469,0.937,,
135,2223605_MOLD_ASM-4/2223605_SLIDE-01_ASM-2/UNC-SHCS-5-16-X-0625-2,0.469,0.469,0.937,,
136,2223605_MOLD_ASM-4/2223605_SLIDE-01_ASM-2/UNC-SHCS-5-16-X-0625-1,0.469,0.469,0.937,,
137,2223605_MOLD_ASM-2/2223605_SLIDE-01_ASM-1/UNC-SHCS-5-16-X-0625-1,0.469,0.469,0.937,,
138,2223605_MOLD_ASM-1/2223605_SLIDE-01_ASM-1/UNC-SHCS-5-16-X-0625-2,0.469,0.469,0.937,,
139,2223605_MOLD_ASM-2/2223605_SLIDE-01_ASM-2/UNC-SHCS-5-16-X-0625-2,0.469,0.469,0.937,,
140,2223605_MOLD_ASM-2/2223605_SLIDE-01_ASM-2/UNC-SHCS-5-16-X-0625-1,0.469,0.469,0.937,,
141,2223605_MOLD_ASM-1/2223605_SLIDE-01_ASM-2/UNC-SHCS-5-16-X-0625-2,0.469,0.469,0.937,,
142,2223605_MOLD_ASM-3/2223605_SLIDE-01_ASM-1/UNC-SHCS-5-16-X-0625-2,0.469,0.469,0.937,,
143,2223605_MOLD_ASM-3/2223605_SLIDE-01_ASM-1/UNC-SHCS-5-16-X-0625-1,0.469,0.469,0.937,,
144,2223605_MOLD_ASM-1/2223605_SLIDE-01_ASM-2/UNC-SHCS-5-16-X-0625-1,0.469,0.469,0.937,,
145,2223605_MOLDBASE_ASM-1/TLP75-7,0.188,1.000,1.000,,
146,2223605_MOLDBASE_ASM-1/TLP75-16,0.188,1.000,1.000,,
147,2223605_MOLDBASE_ASM-1/TLP75-3,0.188,1.000,1.000,,
148,2223605_MOLDBASE_ASM-1/TLP75-19,0.188,1.000,1.000,,
149,2223605_MOLDBASE_ASM-1/TLP75-8,0.188,1.000,1.000,,
150,2223605_MOLDBASE_ASM-1/TLP75-21,0.188,1.000,1.000,,
151,2223605_MOLDBASE_ASM-1/TLP75-12,0.188,1.000,1.000,,
152,2223605_MOLDBASE_ASM-1/TLP75-15,0.188,1.000,1.000,,
153,2223605_MOLDBASE_ASM-1/TLP75-2,0.188,1.000,1.000,,
154,2223605_MOLDBASE_ASM-1/TLP75-1,0.188,1.000,1.000,,
155,2223605_MOLDBASE_ASM-1/TLP75-17,0.188,1.000,1.000,,
156,2223605_MOLDBASE_ASM-1/TLP75-4,0.188,1.000,1.000,,
157,2223605_MOLDBASE_ASM-1/TLP75-20,0.188,1.000,1.000,,
158,2223605_MOLDBASE_ASM-1/TLP75-18,0.188,1.000,1.000,,
159,2223605_MOLDBASE_ASM-1/TLP75-11,0.188,1.000,1.000,,
160,2223605_MOLDBASE_ASM-1/TLP75-6,0.188,1.000,1.000,,
161,2223605_MOLDBASE_ASM-1/TLP75-10,0.188,1.000,1.000,,
162,2223605_MOLDBASE_ASM-1/TLP75-13,0.188,1.000,1.000,,
163,2223605_MOLDBASE_ASM-1/TLP75-5,0.188,1.000,1.000,,
164,2223605_MOLDBASE_ASM-1/TLP75-14,0.188,1.000,1.000,,
165,2223605_MOLDBASE_ASM-1/TLP75-9,0.188,1.000,1.000,,
166,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-3,0.480,0.480,0.500,,
167,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-7,0.480,0.480,0.500,,
168,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-8,0.480,0.480,0.500,,
169,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-9,0.480,0.480,0.500,,
170,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-10,0.480,0.480,0.500,,
171,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-11,0.480,0.480,0.500,,
172,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-12,0.480,0.480,0.500,,
173,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-13,0.480,0.480,0.500,,
174,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-17,0.480,0.480,0.500,,
175,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-6,0.480,0.480,0.500,,
176,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-14,0.480,0.480,0.500,,
177,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-21,0.480,0.480,0.500,,
178,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-19,0.480,0.480,0.500,,
179,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-15,0.480,0.480,0.500,,
180,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-16,0.480,0.480,0.500,,
181,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-2,0.480,0.480,0.500,,
182,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-20,0.480,0.480,0.500,,
183,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-1,0.480,0.480,0.500,,
184,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-5,0.480,0.480,0.500,,
185,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-4,0.480,0.480,0.500,,
186,2223605_MOLDBASE_ASM-1/UNC-FHCS-1-4-X-0500-18,0.480,0.480,0.500,,
