CMS AI FULL ASSEMBLY VIEW NOTES
================================
Job: 26036-37_FRAME_ONLY_20260508
Image: C:\CMS_AI\datasets\cms_molds\label_queue\images\26036-37_FRAME_ONLY_20260508_FULL_FRONT.jpg
ViewType: front
PartCount: 61

Detected key roles:
TCP index: 41
BCP index: 36
ID Holder index: 0
OD Holder index: 0
ID Pot index: 34
OD Pot index: 0

Parts:
Index | Use | Class | Confidence | T | W | L | CenterX | CenterY | CenterZ | Component
13 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.500 | -4.469 | -3.845 | 3.188 | 0__SHCS_0_500_6_0_2-2
14 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.500 | -4.469 | -3.845 | -3.188 | 0__SHCS_0_500_6_0_2-4
15 | 1 | bushing | 0.500 | 0.469 | 0.469 | 1.313 | -3.313 | -5.324 | -4.563 | 0__SHCS_0_3125_1_0-5
16 | 1 | rail | 0.880 | 0.750 | 0.750 | 2.375 | 4.469 | -2.318 | -3.188 | 0__TUBDOWEL_11-1
17 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.625 | 2.812 | -5.943 | 5.375 | 0__STOP_PIN_1-1
18 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.625 | 2.812 | -5.943 | 0.750 | 0__STOP_PIN_1-3
19 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.625 | -2.812 | -5.943 | -5.375 | 0__STOP_PIN_1-6
20 | 0 | hardware_other | 0.250 | 1.302 | 1.302 | 1.500 | -1.500 | -5.318 | -5.000 | 0__GBE_0750-1
21 | 0 | hardware_other | 0.250 | 1.302 | 1.302 | 1.500 | 1.500 | -5.318 | 4.900 | 0__GBE_0750-2
22 | 1 | rail | 0.880 | 0.995 | 0.995 | 5.250 | 1.500 | -4.005 | 4.900 | 0__GL_0_75_5_25-1
23 | 1 | rail | 0.880 | 0.995 | 0.995 | 5.250 | -1.500 | -4.005 | -5.000 | 0__GL_0_75_5_25-2
24 | 1 | bushing | 0.500 | 1.309 | 1.311 | 2.700 | -2.813 | -3.300 | -5.373 | DME_SMD6010-2
25 | 1 | bushing | 0.500 | 1.309 | 1.311 | 2.700 | 2.812 | -3.300 | 5.377 | DME_SMD6010-3
26 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -1.450 | -4.754 | 3.200 | SUPPORT_PILLAR-1_5-3_2-3
27 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 1.450 | -4.754 | 3.200 | SUPPORT_PILLAR-1_5-3_2-4
28 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.625 | 2.813 | -5.943 | -5.375 | 0__STOP_PIN_1-5
29 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -1.750 | -4.754 | 0.000 | SUPPORT_PILLAR-1_5-3_2-1
30 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -1.450 | -4.754 | -3.200 | SUPPORT_PILLAR-1_5-3_2-2
31 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 1.450 | -4.754 | -3.200 | SUPPORT_PILLAR-1_5-3_2-5
32 | 1 | bushing | 0.500 | 1.309 | 1.311 | 2.700 | 2.812 | -3.300 | -5.373 | DME_SMD6010-1
33 | 0 | hardware_other | 0.250 | 0.500 | 7.375 | 12.000 | 0.000 | -4.818 | 0.000 | 0__625_500_EJRET_PLATE_MH_001-1
34 | 1 | bottom_clamp_plate | 0.920 | 3.875 | 10.875 | 12.000 | 0.000 | -5.192 | 0.000 | 0__CLP_PLATE_MH_001-1
35 | 0 | hardware_other | 0.250 | 1.000 | 7.375 | 12.000 | 0.000 | -5.568 | 0.000 | 0__EJBASE_PLATE_MH_001_2-1
36 | 1 | top_clamp_plate | 0.920 | 1.375 | 10.875 | 12.000 | 0.000 | 2.563 | 0.000 | 0__CLP_PLATE_FH_001_2-1
37 | 1 | rail | 0.880 | 0.875 | 0.875 | 5.070 | -2.813 | -2.533 | 5.250 | PCS_EJ-RP_P37-6-2
38 | 1 | rail | 0.880 | 0.875 | 0.875 | 5.070 | 2.813 | -2.533 | -5.375 | PCS_EJ-RP_P37-6-3
39 | 1 | rail | 0.880 | 0.875 | 0.875 | 5.070 | -2.813 | -2.533 | -5.375 | PCS_EJ-RP_P37-6-4
40 | 1 | bushing | 0.500 | 1.992 | 1.992 | 3.352 | 0.000 | 1.669 | 0.000 | 0__U_6602_O5_32_R05-1
41 | 1 | b_core_plate | 0.920 | 1.375 | 10.875 | 12.000 | 0.000 | -0.693 | 0.000 | 0__CAV_PLATE_MH_001-1
42 | 0 | hardware_other | 0.250 | 1.375 | 1.427 | 1.427 | 4.562 | -0.692 | 5.125 | 0__5711-1
43 | 0 | hardware_other | 0.250 | 1.375 | 1.427 | 1.427 | 4.562 | -0.692 | -5.125 | 0__5711-2
44 | 0 | hardware_other | 0.250 | 1.375 | 1.427 | 1.427 | -4.563 | -0.693 | -5.125 | 0__5711-3
45 | 1 | rail | 0.880 | 1.115 | 1.115 | 3.750 | 4.562 | 0.000 | 5.125 | 0__5103GL-1
46 | 1 | rail | 0.880 | 1.115 | 1.115 | 3.750 | -4.563 | 0.000 | 4.938 | 0__5103GL-2
47 | 1 | rail | 0.880 | 1.115 | 1.115 | 3.750 | 4.562 | 0.000 | -5.125 | 0__5103GL-3
48 | 1 | rail | 0.880 | 1.115 | 1.115 | 3.750 | -4.563 | 0.000 | -5.125 | 0__5103GL-4
49 | 1 | support_plate | 0.920 | 1.878 | 10.875 | 12.000 | 0.000 | -2.319 | 0.000 | 0__625_500_INT_PLATE_MH_001_2-1
50 | 1 | a_cavity_plate | 0.920 | 1.875 | 10.875 | 12.000 | 0.000 | 0.938 | 0.000 | 0_CAV_PLATE_FH-1
51 | 1 | rail | 0.880 | 0.875 | 0.875 | 5.070 | 2.813 | -2.533 | 5.375 | PCS_EJ-RP_P37-6-1
52 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.625 | 1.450 | -6.287 | -3.200 | 0__SHCS_0_375_1_25_2-4
53 | 1 | bushing | 0.500 | 0.656 | 0.656 | 1.000 | -1.656 | 3.053 | 0.000 | FHCS_3125_18_1000_2-2
54 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.625 | -1.450 | -6.287 | -3.200 | 0__SHCS_0_375_1_25_2-1
55 | 1 | bushing | 0.500 | 0.656 | 0.656 | 1.000 | 1.656 | 3.053 | 0.000 | FHCS_3125_18_1000_2-1
56 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 1.750 | -4.754 | 0.000 | SUPPORT_PILLAR-1_5-3_2-6
57 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.625 | -1.750 | -6.287 | 0.000 | 0__SHCS_0_375_1_25_2-5
58 | 0 | hardware_other | 0.250 | 0.549 | 3.990 | 3.990 | 0.000 | 3.307 | 0.000 | 6504-1
59 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.625 | -1.450 | -6.287 | 3.200 | 0__SHCS_0_375_1_25_2-2
60 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.625 | 1.750 | -6.287 | 0.000 | 0__SHCS_0_375_1_25_2-6
61 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.625 | 1.450 | -6.287 | 3.200 | 0__SHCS_0_375_1_25_2-3
