Index,Component,Role,Confidence,Quote,Thickness,Width,Length,CenterX,CenterY,CenterZ,Reason
15,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-5_7-8_DME-3,leader_pin_bushing,HIGH,False,2.177,2.177,5.875,2.941,-6.000,5.500,Strong shop token LBB; leader pin bushing.
16,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-5_7-8_DME-2,leader_pin_bushing,HIGH,False,2.177,2.177,5.875,2.941,-6.000,-5.500,Strong shop token LBB; leader pin bushing.
17,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-5_7-8_DME-1,leader_pin_bushing,HIGH,False,2.177,2.177,5.875,2.941,6.000,-5.500,Strong shop token LBB; leader pin bushing.
18,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-3_7-8_DME-4,leader_pin_bushing,HIGH,False,2.177,2.177,3.875,-1.941,6.125,5.750,Strong shop token LBB; leader pin bushing.
19,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-3_7-8_DME-1,leader_pin_bushing,HIGH,False,2.177,2.177,3.875,-1.941,6.000,-5.500,Strong shop token LBB; leader pin bushing.
20,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-3_7-8_DME-2,leader_pin_bushing,HIGH,False,2.177,2.177,3.875,-1.941,-6.000,-5.500,Strong shop token LBB; leader pin bushing.
21,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-3_7-8_DME-3,leader_pin_bushing,HIGH,False,2.177,2.177,3.875,-1.941,-6.000,5.500,Strong shop token LBB; leader pin bushing.
22,T001015_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_DME-1,hardware_other,LOW,False,2.000,2.000,4.500,-9.129,0.000,-4.000,Round hardware but role is not certain from dimensions alone.
23,T001015_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_DME-4,hardware_other,LOW,False,2.000,2.000,4.500,-9.129,-1.125,0.000,Round hardware but role is not certain from dimensions alone.
24,T001015_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_DME-2,hardware_other,LOW,False,2.000,2.000,4.500,-9.129,0.000,4.000,Round hardware but role is not certain from dimensions alone.
25,T001015_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_DME-3,hardware_other,LOW,False,2.000,2.000,4.500,-9.129,2.500,0.000,Round hardware but role is not certain from dimensions alone.
26,T001015_MOLDBASE_ASM-1/T001015_RETURN-PIN-2,return_pin,MEDIUM,False,1.000,1.000,10.067,-5.033,4.000,-4.250,Long 1-inch-class round pin; likely return/ejector return pin.
27,T001015_MOLDBASE_ASM-1/T001015_RETURN-PIN-3,return_pin,MEDIUM,False,1.000,1.000,10.067,-5.033,-4.000,4.250,Long 1-inch-class round pin; likely return/ejector return pin.
28,T001015_MOLDBASE_ASM-1/T001015_RETURN-PIN-1,return_pin,MEDIUM,False,1.000,1.000,10.067,-5.033,4.250,4.375,Long 1-inch-class round pin; likely return/ejector return pin.
29,T001015_MOLDBASE_ASM-1/T001015_RETURN-PIN-4,return_pin,MEDIUM,False,1.000,1.000,10.067,-5.033,-4.000,-4.250,Long 1-inch-class round pin; likely return/ejector return pin.
30,T001015_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-3,leader_pin,MEDIUM,False,1.240,1.240,6.250,-9.613,2.500,4.375,Long round guide pin matched to short bushing at the same center position plane.
31,T001015_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-4,leader_pin,MEDIUM,False,1.240,1.240,6.250,-9.613,2.500,-4.250,Long round guide pin matched to short bushing at the same center position plane.
32,T001015_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-2,leader_pin,MEDIUM,False,1.240,1.240,6.250,-9.613,-2.500,4.250,Long round guide pin matched to short bushing at the same center position plane.
33,T001015_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-1,leader_pin,MEDIUM,False,1.240,1.240,6.250,-9.613,-2.500,-4.250,Long round guide pin matched to short bushing at the same center position plane.
34,T001015_MOLDBASE_ASM-1/91259A230-2,return_pin,MEDIUM,False,1.000,1.000,8.375,-7.004,4.000,3.000,Long 1-inch-class round pin; likely return/ejector return pin.
35,T001015_MOLDBASE_ASM-1/91259A230-3,return_pin,MEDIUM,False,1.000,1.000,8.375,-7.004,-4.000,3.000,Long 1-inch-class round pin; likely return/ejector return pin.
36,T001015_MOLDBASE_ASM-1/91259A230-1,return_pin,MEDIUM,False,1.000,1.000,8.375,-7.004,4.000,-3.000,Long 1-inch-class round pin; likely return/ejector return pin.
37,T001015_MOLDBASE_ASM-1/91259A230-4,return_pin,MEDIUM,False,1.000,1.000,8.375,-7.004,-4.000,-3.000,Long 1-inch-class round pin; likely return/ejector return pin.
38,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-BOX-2,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,-6.875,-4.000,Round hardware but role is not certain from dimensions alone.
39,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-4,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,-6.875,-7.000,Round hardware but role is not certain from dimensions alone.
40,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-3,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,-6.875,7.000,Round hardware but role is not certain from dimensions alone.
41,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-6,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,-6.875,0.000,Round hardware but role is not certain from dimensions alone.
42,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-BOX-4,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,6.875,4.000,Round hardware but role is not certain from dimensions alone.
43,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-1,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,6.875,-7.000,Round hardware but role is not certain from dimensions alone.
44,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-5,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,6.875,0.000,Round hardware but role is not certain from dimensions alone.
45,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-2,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,6.875,7.000,Round hardware but role is not certain from dimensions alone.
46,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-BOX-1,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,-6.875,4.000,Round hardware but role is not certain from dimensions alone.
47,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-BOX-3,hardware_other,LOW,False,0.938,0.938,7.125,-9.129,6.875,-4.000,Round hardware but role is not certain from dimensions alone.
48,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-GB-1,hardware_other,LOW,False,0.750,1.500,4.250,-2.984,-2.250,-8.500,Inside mold stack but not enough geometry to name confidently.
49,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-GB-1,hardware_other,LOW,False,0.750,1.500,4.250,-2.984,2.250,-8.500,Inside mold stack but not enough geometry to name confidently.
50,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-GB-1,hardware_other,LOW,False,0.750,1.500,4.250,-2.984,2.250,8.500,Inside mold stack but not enough geometry to name confidently.
51,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-GB-1,hardware_other,LOW,False,0.750,1.500,4.250,-2.984,-2.250,8.500,Inside mold stack but not enough geometry to name confidently.
52,T001015_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-2,leader_pin_bushing,MEDIUM,False,1.552,1.552,1.750,-10.311,2.500,4.375,Short bushing matched to a long guide pin at the same center position plane.
53,T001015_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-4,leader_pin_bushing,MEDIUM,False,1.552,1.552,1.750,-10.311,-2.500,-4.250,Short bushing matched to a long guide pin at the same center position plane.
54,T001015_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-3,leader_pin_bushing,MEDIUM,False,1.552,1.552,1.750,-10.311,-2.500,4.250,Short bushing matched to a long guide pin at the same center position plane.
55,T001015_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-1,leader_pin_bushing,MEDIUM,False,1.552,1.552,1.750,-10.311,2.500,-4.250,Short bushing matched to a long guide pin at the same center position plane.
56,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-02-1,hardware_other,LOW,False,0.750,0.750,7.000,-7.609,-2.250,-8.155,Round hardware but role is not certain from dimensions alone.
57,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-02-1,hardware_other,LOW,False,0.750,0.750,7.000,-7.609,2.250,8.155,Round hardware but role is not certain from dimensions alone.
58,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-02-1,hardware_other,LOW,False,0.750,0.750,7.000,-7.609,2.250,-8.155,Round hardware but role is not certain from dimensions alone.
59,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-02-1,hardware_other,LOW,False,0.750,0.750,7.000,-7.609,-2.250,8.155,Round hardware but role is not certain from dimensions alone.
60,PROGRESSIVE-SAFETY-STRAP_ASM-1/PROGRESSIVE-SAFTEY-STRAP-1,hardware_other,LOW,False,0.750,1.370,3.370,0.000,8.875,-5.875,Inside mold stack but not enough geometry to name confidently.
61,PROGRESSIVE-SAFETY-STRAP_ASM-2/PROGRESSIVE-SAFTEY-STRAP-1,hardware_other,LOW,False,0.750,1.370,3.370,-4.379,8.875,-5.875,Inside mold stack but not enough geometry to name confidently.
62,T001015_MOLDBASE_ASM-1/91259A804-2,hardware_other,LOW,False,0.875,0.875,3.625,-4.942,-4.000,5.500,Round hardware but role is not certain from dimensions alone.
63,T001015_MOLDBASE_ASM-1/91259A804-1,hardware_other,LOW,False,0.875,0.875,3.625,-4.942,4.000,5.500,Round hardware but role is not certain from dimensions alone.
64,T001015_MOLDBASE_ASM-1/91259A804-3,hardware_other,LOW,False,0.875,0.875,3.625,-4.942,-4.000,-5.500,Round hardware but role is not certain from dimensions alone.
65,T001015_MOLDBASE_ASM-1/91259A804-4,hardware_other,LOW,False,0.875,0.875,3.625,-4.942,4.000,-5.500,Round hardware but role is not certain from dimensions alone.
66,WP_375_5-000-5,hardware_other,LOW,False,0.675,0.675,5.000,3.500,0.500,6.927,Round hardware but role is not certain from dimensions alone.
67,WP_375_5-000-2,hardware_other,LOW,False,0.675,0.675,5.000,-1.000,0.000,6.927,Round hardware but role is not certain from dimensions alone.
68,WP_375_5-000-1,hardware_other,LOW,False,0.675,0.675,5.000,-1.000,-2.250,6.927,Round hardware but role is not certain from dimensions alone.
69,WP_375_5-000-6,hardware_other,LOW,False,0.675,0.675,5.000,0.750,-1.375,6.927,Round hardware but role is not certain from dimensions alone.
70,WP_375_5-000-3,hardware_other,LOW,False,0.675,0.675,5.000,0.750,2.375,-6.939,Round hardware but role is not certain from dimensions alone.
71,WP_375_5-000-4,hardware_other,LOW,False,0.675,0.675,5.000,1.710,0.500,-6.927,Round hardware but role is not certain from dimensions alone.
72,T001015_MOLDBASE_ASM-1/HKO_L1_9-16_TAP_3-4-10-1,hardware_other,LOW,False,0.875,1.010,2.422,-11.533,5.118,0.000,Inside mold stack but not enough geometry to name confidently.
73,T001015_MOLDBASE_ASM-1/HKO_L1_9-16_TAP_3-4-10-2,hardware_other,LOW,False,0.875,1.010,2.422,-11.533,-5.118,0.000,Inside mold stack but not enough geometry to name confidently.
74,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-1,hardware_other,LOW,False,0.500,0.750,5.675,-4.015,-2.905,-8.125,Inside mold stack but not enough geometry to name confidently.
75,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-1,hardware_other,LOW,False,0.500,0.750,5.675,-4.015,1.595,-8.125,Inside mold stack but not enough geometry to name confidently.
76,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-1,hardware_other,LOW,False,0.500,0.750,5.675,-4.015,2.905,8.125,Inside mold stack but not enough geometry to name confidently.
77,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-2,hardware_other,LOW,False,0.500,0.750,5.675,-4.015,1.595,8.125,Inside mold stack but not enough geometry to name confidently.
78,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-2,hardware_other,LOW,False,0.500,0.750,5.675,-4.015,2.905,-8.125,Inside mold stack but not enough geometry to name confidently.
79,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-2,hardware_other,LOW,False,0.500,0.750,5.675,-4.015,-1.595,-8.125,Inside mold stack but not enough geometry to name confidently.
80,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-1,hardware_other,LOW,False,0.500,0.750,5.675,-4.015,-1.595,8.125,Inside mold stack but not enough geometry to name confidently.
81,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-2,hardware_other,LOW,False,0.500,0.750,5.675,-4.015,-2.905,8.125,Inside mold stack but not enough geometry to name confidently.
82,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-TG-1,hardware_other,LOW,False,0.750,0.900,3.000,-3.234,2.250,7.300,Inside mold stack but not enough geometry to name confidently.
83,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-TG-1,hardware_other,LOW,False,0.750,0.900,3.000,-3.234,2.250,-7.300,Inside mold stack but not enough geometry to name confidently.
84,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-TG-1,hardware_other,LOW,False,0.750,0.900,3.000,-3.234,-2.250,7.300,Inside mold stack but not enough geometry to name confidently.
85,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-TG-1,hardware_other,LOW,False,0.750,0.900,3.000,-3.234,-2.250,-7.300,Inside mold stack but not enough geometry to name confidently.
86,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-2250-4,hardware_other,LOW,False,0.750,0.750,2.750,-2.441,2.850,3.000,Round hardware but role is not certain from dimensions alone.
87,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-2250-2,hardware_other,LOW,False,0.750,0.750,2.750,-2.441,-2.525,-4.375,Round hardware but role is not certain from dimensions alone.
88,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-2250-1,hardware_other,LOW,False,0.750,0.750,2.750,-2.441,2.850,-3.000,Round hardware but role is not certain from dimensions alone.
89,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-2250-3,hardware_other,LOW,False,0.750,0.750,2.750,-2.441,-1.150,4.375,Round hardware but role is not certain from dimensions alone.
90,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-2,hardware_other,LOW,False,0.750,0.750,2.500,-11.441,6.875,2.000,Round hardware but role is not certain from dimensions alone.
91,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-3,hardware_other,LOW,False,0.750,0.750,2.500,-11.441,-6.875,2.000,Round hardware but role is not certain from dimensions alone.
92,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-4,hardware_other,LOW,False,0.750,0.750,2.500,-11.441,-6.875,-2.000,Round hardware but role is not certain from dimensions alone.
93,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-1,hardware_other,LOW,False,0.750,0.750,2.500,-11.441,6.875,-2.000,Round hardware but role is not certain from dimensions alone.
94,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-1750-3,hardware_other,LOW,False,0.750,0.750,2.250,4.691,-2.525,-4.250,Round hardware but role is not certain from dimensions alone.
95,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-1750-1,hardware_other,LOW,False,0.750,0.750,2.250,4.691,1.600,4.250,Round hardware but role is not certain from dimensions alone.
96,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-1750-2,hardware_other,LOW,False,0.750,0.750,2.250,4.691,-2.525,4.250,Round hardware but role is not certain from dimensions alone.
97,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-1750-4,hardware_other,LOW,False,0.750,0.750,2.250,4.691,1.600,-4.250,Round hardware but role is not certain from dimensions alone.
98,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-8,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,7.750,0.000,Round hardware but role is not certain from dimensions alone.
99,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-11,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,0.000,-7.000,Round hardware but role is not certain from dimensions alone.
100,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-1,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,7.750,5.000,Round hardware but role is not certain from dimensions alone.
101,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-2,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,-7.750,5.000,Round hardware but role is not certain from dimensions alone.
102,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-6,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,0.000,7.000,Round hardware but role is not certain from dimensions alone.
103,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-10,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,4.000,-7.000,Round hardware but role is not certain from dimensions alone.
104,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-13,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,0.000,0.000,Round hardware but role is not certain from dimensions alone.
105,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-9,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,7.750,-5.000,Round hardware but role is not certain from dimensions alone.
106,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-7,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,4.000,7.000,Round hardware but role is not certain from dimensions alone.
107,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-4,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,-7.750,-5.000,Round hardware but role is not certain from dimensions alone.
108,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-3,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,-7.750,0.000,Round hardware but role is not certain from dimensions alone.
109,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-5,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,-4.000,7.000,Round hardware but role is not certain from dimensions alone.
110,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-1500-12,hardware_other,LOW,False,0.750,0.750,2.000,-4.942,-4.000,-7.000,Round hardware but role is not certain from dimensions alone.
111,PROGRESSIVE-SAFETY-STRAP_ASM-1/UNC-SHCS-1-2-X-1000-2,hardware_other,LOW,False,0.750,0.750,1.500,1.000,8.437,-5.875,Round hardware but role is not certain from dimensions alone.
112,PROGRESSIVE-SAFETY-STRAP_ASM-2/UNC-SHCS-1-2-X-1000-2,hardware_other,LOW,False,0.750,0.750,1.500,-3.379,8.437,-5.875,Round hardware but role is not certain from dimensions alone.
113,PROGRESSIVE-SAFETY-STRAP_ASM-2/UNC-SHCS-1-2-X-1000-1,hardware_other,LOW,False,0.750,0.750,1.500,-5.379,8.437,-5.875,Round hardware but role is not certain from dimensions alone.
114,PROGRESSIVE-SAFETY-STRAP_ASM-1/UNC-SHCS-1-2-X-1000-1,hardware_other,LOW,False,0.750,0.750,1.500,-1.000,8.437,-5.875,Round hardware but role is not certain from dimensions alone.
115,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-WB-1,hardware_other,LOW,False,0.499,0.870,1.900,-3.360,2.250,7.482,Inside mold stack but not enough geometry to name confidently.
116,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-WB-1,hardware_other,LOW,False,0.499,0.870,1.900,-3.360,-2.250,-7.482,Inside mold stack but not enough geometry to name confidently.
117,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-WB-1,hardware_other,LOW,False,0.499,0.870,1.900,-3.360,2.250,-7.482,Inside mold stack but not enough geometry to name confidently.
118,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-WB-1,hardware_other,LOW,False,0.499,0.870,1.900,-3.360,-2.250,7.482,Inside mold stack but not enough geometry to name confidently.
119,T001015_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-2000-1,hardware_other,LOW,False,0.562,0.562,2.375,-11.536,0.000,-4.000,Round hardware but role is not certain from dimensions alone.
120,T001015_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-2000-2,hardware_other,LOW,False,0.562,0.562,2.375,-11.536,0.000,4.000,Round hardware but role is not certain from dimensions alone.
121,T001015_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-2000-4,hardware_other,LOW,False,0.562,0.562,2.375,-11.536,-1.125,0.000,Round hardware but role is not certain from dimensions alone.
122,T001015_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-2000-3,hardware_other,LOW,False,0.562,0.562,2.375,-11.536,2.500,0.000,Round hardware but role is not certain from dimensions alone.
123,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-GP-1,hardware_other,LOW,False,0.250,0.900,3.000,-3.734,-2.250,-7.300,Inside mold stack but not enough geometry to name confidently.
124,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-GP-1,hardware_other,LOW,False,0.250,0.900,3.000,-3.734,2.250,7.300,Inside mold stack but not enough geometry to name confidently.
125,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-GP-1,hardware_other,LOW,False,0.250,0.900,3.000,-3.734,-2.250,7.300,Inside mold stack but not enough geometry to name confidently.
126,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-GP-1,hardware_other,LOW,False,0.250,0.900,3.000,-3.734,2.250,-7.300,Inside mold stack but not enough geometry to name confidently.
127,T001015_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-7,hardware_other,LOW,False,0.562,0.562,1.625,-10.349,-5.250,-2.000,Round hardware but role is not certain from dimensions alone.
128,T001015_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-11,hardware_other,LOW,False,0.562,0.562,1.625,-10.349,5.250,5.000,Round hardware but role is not certain from dimensions alone.
129,T001015_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-1,hardware_other,LOW,False,0.562,0.562,1.625,-10.349,1.500,-7.250,Round hardware but role is not certain from dimensions alone.
130,T001015_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-9,hardware_other,LOW,False,0.562,0.562,1.625,-10.349,5.250,-5.000,Round hardware but role is not certain from dimensions alone.
131,T001015_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-12,hardware_other,LOW,False,0.562,0.562,1.625,-10.349,-5.250,5.000,Round hardware but role is not certain from dimensions alone.
